DATATIME,LOAD_ACTUAL,LOAD_PRED,LOAD_MEAN,LOAD_Q10,LOAD_Q90
2024-06-25 00:00:00,4435.621,4566.994,4562.739,4486.826,4658.128
2024-06-25 01:00:00,4393.906,4513.771,4519.99,4418.243,4626.742
2024-06-25 02:00:00,4358.919,4447.665,4451.477,4335.702,4578.747
2024-06-25 03:00:00,4323.478,4377.94,4386.123,4259.231,4520.894
2024-06-25 04:00:00,4311.577,4347.744,4360.384,4215.502,4495.113
2024-06-25 05:00:00,4316.634,4357.462,4357.328,4218.056,4509.164
2024-06-25 06:00:00,4338.439,4399.692,4403.091,4252.487,4563.031
2024-06-25 07:00:00,4529.234,4461.664,4458.386,4304.351,4635.089
2024-06-25 08:00:00,4660.32,4634.271,4639.864,4461.157,4812.081
2024-06-25 09:00:00,4872.956,4839.405,4850.523,4659.414,5027.672
2024-06-25 10:00:00,5139.083,5023.265,5022.023,4832.651,5216.782
2024-06-25 11:00:00,5238.53,5085.313,5085.137,4898.166,5283.556
2024-06-25 12:00:00,5212.461,5112.549,5108.814,4924.191,5305.015
2024-06-25 13:00:00,5157.224,5130.893,5133.499,4946.178,5330.059
2024-06-25 14:00:00,5096.239,5095.481,5091.055,4909.17,5301.272
2024-06-25 15:00:00,5156.462,5082.66,5092.391,4898.26,5291.532
2024-06-25 16:00:00,5255.81,5063.263,5074.099,4878.631,5279.261
2024-06-25 17:00:00,5181.802,5023.023,5027.241,4841.328,5239.683
2024-06-25 18:00:00,5117.347,5009.749,5020.433,4820.173,5228.386
2024-06-25 19:00:00,5080.271,4966.52,4974.259,4785.808,5181.01
2024-06-25 20:00:00,5108.771,4951.149,4962.275,4773.388,5155.93
2024-06-25 21:00:00,5079.179,4869.46,4877.041,4701.086,5071.591
2024-06-25 22:00:00,5001.948,4781.122,4788.698,4615.367,4982.902
2024-06-25 23:00:00,4749.581,4710.308,4714.852,4540.008,4922.075
2024-06-26 00:00:00,4587.709,4658.928,4679.233,4486.51,4885.047
2024-06-26 01:00:00,4464.409,4547.169,4566.016,4361.407,4787.043
2024-06-26 02:00:00,4408.007,4471.812,4474.393,4293.891,4705.847
2024-06-26 03:00:00,4437.686,4410.996,4430.946,4224.499,4640.673
2024-06-26 04:00:00,4403.278,4371.778,4382.909,4185.563,4602.588
2024-06-26 05:00:00,4366.476,4371.605,4381.179,4181.613,4595.037
2024-06-26 06:00:00,4481.376,4424.597,4436.36,4230.499,4649.693
2024-06-26 07:00:00,4630.765,4494.425,4506.601,4293.342,4718.836
2024-06-26 08:00:00,4685.018,4609.997,4616.743,4398.636,4832.15
2024-06-26 09:00:00,4873.497,4771.548,4775.075,4560.077,5006.811
2024-06-26 10:00:00,4966.032,4918.826,4920.408,4701.586,5152.257
2024-06-26 11:00:00,5082.61,4974.442,4985.918,4759.883,5215.256
2024-06-26 12:00:00,5003.491,5065.82,5067.068,4846.574,5300.781
2024-06-26 13:00:00,4965.395,5098.149,5111.654,4877.764,5331.698
2024-06-26 14:00:00,4948.57,5082.076,5092.302,4862.784,5320.922
2024-06-26 15:00:00,4955.5,5091.984,5091.733,4871.109,5331.263
2024-06-26 16:00:00,4967.553,5077.804,5082.414,4852.555,5331.844
2024-06-26 17:00:00,4954.184,5036.62,5047.229,4816.035,5288.245
2024-06-26 18:00:00,4827.753,4958.355,4951.969,4736.337,5211.306
2024-06-26 19:00:00,4879.85,4963.803,4966.894,4750.992,5204.85
2024-06-26 20:00:00,4875.566,4933.314,4933.322,4722.032,5166.72
2024-06-26 21:00:00,4851.333,4851.177,4862.101,4647.396,5076.592
2024-06-26 22:00:00,4857.538,4714.373,4726.631,4515.901,4944.585
2024-06-26 23:00:00,4613.059,4638.724,4643.979,4436.825,4873.396
2024-06-27 00:00:00,4467.149,4622.874,4638.771,4412.513,4866.055
2024-06-27 01:00:00,4316.631,4517.109,4535.071,4308.207,4769.726
2024-06-27 02:00:00,4274.263,4380.325,4393.304,4173.914,4640.241
2024-06-27 03:00:00,4294.81,4356.839,4363.934,4150.77,4605.342
2024-06-27 04:00:00,4253.698,4307.843,4304.753,4088.37,4561.528
2024-06-27 05:00:00,4185.053,4334.161,4324.259,4126.485,4572.846
2024-06-27 06:00:00,4335.933,4353.771,4358.606,4130.917,4594.464
2024-06-27 07:00:00,4442.748,4440.341,4450.748,4216.705,4681.183
2024-06-27 08:00:00,4604.287,4516.212,4523.026,4287.156,4769.105
2024-06-27 09:00:00,4908.207,4700.295,4698.078,4457.591,4957.579
2024-06-27 10:00:00,5158.04,4876.996,4882.663,4630.657,5141.342
2024-06-27 11:00:00,5242.303,4928.411,4925.239,4681.547,5187.646
2024-06-27 12:00:00,5229.647,4991.054,4990.687,4746.414,5253.048
2024-06-27 13:00:00,5169.57,5033.602,5036.936,4792.963,5291.47
2024-06-27 14:00:00,5193.94,5030.751,5034.622,4786.871,5290.144
2024-06-27 15:00:00,5270.712,5027.997,5022.046,4789.249,5291.188
2024-06-27 16:00:00,5243.313,5024.449,5023.919,4775.9,5293.487
2024-06-27 17:00:00,5114.605,4977.736,4977.623,4736.863,5251.371
2024-06-27 18:00:00,5032.98,4968.65,4968.675,4733.63,5231.981
2024-06-27 19:00:00,5017.395,4932.143,4935.456,4701.89,5184.026
2024-06-27 20:00:00,5005.698,4907.337,4915.197,4687.9,5154.962
2024-06-27 21:00:00,5079.989,4844.36,4846.707,4629.212,5085.927
2024-06-27 22:00:00,4989.824,4782.848,4780.196,4561.218,5027.032
2024-06-27 23:00:00,4760.395,4664.153,4665.698,4445.2,4915.877
2024-06-28 00:00:00,4605.357,4605.944,4614.419,4384.553,4868.68
2024-06-28 01:00:00,4518.538,4522.38,4536.592,4301.031,4787.899
2024-06-28 02:00:00,4488.107,4407.966,4420.541,4187.937,4676.006
2024-06-28 03:00:00,4471.374,4329.401,4332.44,4108.447,4582.825
2024-06-28 04:00:00,4404.375,4301.286,4321.983,4083.572,4553.106
