DATATIME,LOAD_ACTUAL,LOAD_PRED,LOAD_MEAN,LOAD_Q10,LOAD_Q90
2024-06-25 00:00:00,4435.621,4497.719,4497.719,4442.85,4552.364
2024-06-25 01:00:00,4393.906,4399.311,4399.311,4348.576,4456.53
2024-06-25 02:00:00,4358.919,4359.566,4359.566,4306.434,4414.982
2024-06-25 03:00:00,4323.478,4330.334,4330.334,4278.418,4382.741
2024-06-25 04:00:00,4311.577,4300.156,4300.156,4247.837,4357.362
2024-06-25 05:00:00,4316.634,4300.236,4300.236,4245.306,4360.808
2024-06-25 06:00:00,4338.439,4389.81,4389.81,4328.25,4454.144
2024-06-25 07:00:00,4529.234,4484.198,4484.198,4420.89,4554.619
2024-06-25 08:00:00,4660.32,4627.057,4627.057,4553.074,4696.503
2024-06-25 09:00:00,4872.956,4855.062,4855.062,4780.972,4929.51
2024-06-25 10:00:00,5139.083,5059.106,5059.106,4974.498,5147.112
2024-06-25 11:00:00,5238.53,5139.305,5139.305,5050.712,5225.696
2024-06-25 12:00:00,5212.461,5108.251,5108.251,5013.187,5210.558
2024-06-25 13:00:00,5157.224,5052.183,5052.183,4950.064,5154.513
2024-06-25 14:00:00,5096.239,5066.382,5066.382,4962.344,5165.204
2024-06-25 15:00:00,5156.462,5120.219,5120.219,5020.306,5218.472
2024-06-25 16:00:00,5255.81,5154.598,5154.598,5058.092,5256.682
2024-06-25 17:00:00,5181.802,5068.072,5068.072,4971.128,5167.186
2024-06-25 18:00:00,5117.347,5001.624,5001.624,4900.718,5093.611
2024-06-25 19:00:00,5080.271,4984.226,4984.226,4894.71,5070.662
2024-06-25 20:00:00,5108.771,4974.194,4974.194,4883.678,5070.396
2024-06-25 21:00:00,5079.179,4984.034,4984.034,4892.447,5073.111
2024-06-25 22:00:00,5001.948,4868.405,4868.405,4777.8,4959.59
2024-06-25 23:00:00,4749.581,4669.052,4669.052,4581.058,4752.734
2024-06-26 00:00:00,4587.709,4563.114,4563.114,4484.0,4654.144
2024-06-26 01:00:00,4464.409,4476.345,4476.345,4397.028,4564.438
2024-06-26 02:00:00,4408.007,4424.704,4424.704,4344.324,4502.348
2024-06-26 03:00:00,4437.686,4403.508,4403.508,4322.834,4488.82
2024-06-26 04:00:00,4403.278,4367.263,4367.263,4289.864,4440.071
2024-06-26 05:00:00,4366.476,4353.969,4353.969,4276.654,4441.772
2024-06-26 06:00:00,4481.376,4454.712,4454.712,4372.851,4535.144
2024-06-26 07:00:00,4630.765,4558.598,4558.598,4475.274,4645.902
2024-06-26 08:00:00,4685.018,4678.947,4678.947,4588.625,4773.841
2024-06-26 09:00:00,4873.497,4905.162,4905.162,4807.792,5006.088
2024-06-26 10:00:00,4966.032,5098.926,5098.926,4990.668,5200.49
2024-06-26 11:00:00,5082.61,5164.622,5164.622,5066.317,5267.547
