ds,y_PRED,y_MEAN,y_Q10,y_Q90
2025-08-05 00:00:00,5100.78,5100.78,5054.828,5138.8
2025-08-05 00:15:00,5101.461,5101.461,5065.909,5136.716
2025-08-05 00:30:00,5105.882,5105.882,5065.915,5136.062
2025-08-05 00:45:00,5099.488,5099.488,5070.413,5144.9
2025-08-05 01:00:00,5101.364,5101.364,5065.596,5141.62
2025-08-05 01:15:00,5104.576,5104.576,5069.646,5145.222
2025-08-05 01:30:00,5105.167,5105.167,5072.074,5140.612
2025-08-05 01:45:00,5110.138,5110.138,5067.098,5147.64
2025-08-05 02:00:00,5112.398,5112.398,5070.634,5144.704
2025-08-05 02:15:00,5110.379,5110.379,5072.464,5146.842
2025-08-05 02:30:00,5107.763,5107.763,5064.254,5153.662
2025-08-05 02:45:00,5106.429,5106.429,5061.9,5138.432
2025-08-05 03:00:00,5096.44,5096.44,5056.846,5139.228
2025-08-05 03:15:00,5101.49,5101.49,5062.031,5134.872
2025-08-05 03:30:00,5108.304,5108.304,5063.01,5142.263
2025-08-05 03:45:00,5100.522,5100.522,5058.805,5149.287
2025-08-05 04:00:00,5091.166,5091.166,5034.38,5135.96
2025-08-05 04:15:00,5091.646,5091.646,5045.767,5135.525
2025-08-05 04:30:00,5095.837,5095.837,5041.457,5134.82
2025-08-05 04:45:00,5089.174,5089.174,5044.946,5142.228
2025-08-05 05:00:00,5089.678,5089.678,5040.662,5140.418
2025-08-05 05:15:00,5093.266,5093.266,5042.254,5142.98
2025-08-05 05:30:00,5094.674,5094.674,5047.008,5139.008
2025-08-05 05:45:00,5098.591,5098.591,5040.754,5145.168
2025-08-05 06:00:00,5102.88,5102.88,5049.417,5142.636
2025-08-05 06:15:00,5101.579,5101.579,5050.564,5148.081
2025-08-05 06:30:00,5098.619,5098.619,5044.907,5154.065
2025-08-05 06:45:00,5097.472,5097.472,5040.468,5138.589
2025-08-05 07:00:00,5087.987,5087.987,5034.7,5139.996
2025-08-05 07:15:00,5093.646,5093.646,5042.172,5136.496
2025-08-05 07:30:00,5100.24,5100.24,5042.494,5144.001
2025-08-05 07:45:00,5094.325,5094.325,5043.457,5148.73
2025-08-05 08:00:00,5106.163,5106.163,5044.244,5158.143
2025-08-05 08:15:00,5108.296,5108.296,5054.43,5162.696
2025-08-05 08:30:00,5112.2,5112.2,5052.664,5161.823
2025-08-05 08:45:00,5106.701,5106.701,5058.008,5166.664
2025-08-05 09:00:00,5106.862,5106.862,5052.304,5166.7
2025-08-05 09:15:00,5109.973,5109.973,5057.346,5169.316
2025-08-05 09:30:00,5113.236,5113.236,5061.242,5169.081
2025-08-05 09:45:00,5114.746,5114.746,5054.472,5173.298
2025-08-05 10:00:00,5120.517,5120.517,5060.312,5172.782
2025-08-05 10:15:00,5120.456,5120.456,5064.198,5180.46
2025-08-05 10:30:00,5117.534,5117.534,5057.864,5183.476
2025-08-05 10:45:00,5118.077,5118.077,5055.484,5169.453
2025-08-05 11:00:00,5109.682,5109.682,5050.424,5173.702
2025-08-05 11:15:00,5114.325,5114.325,5055.948,5168.28
2025-08-05 11:30:00,5122.728,5122.728,5060.424,5179.514
2025-08-05 11:45:00,5114.62,5114.62,5057.702,5182.704
2025-08-05 12:00:00,5120.034,5120.034,5053.258,5182.936
2025-08-05 12:15:00,5121.974,5121.974,5063.575,5187.478
2025-08-05 12:30:00,5125.219,5125.219,5061.628,5185.302
2025-08-05 12:45:00,5119.164,5119.164,5067.538,5192.364
2025-08-05 13:00:00,5119.463,5119.463,5060.478,5192.333
2025-08-05 13:15:00,5121.032,5121.032,5064.022,5190.888
2025-08-05 13:30:00,5123.25,5123.25,5069.852,5189.242
2025-08-05 13:45:00,5126.25,5126.25,5062.928,5193.953
2025-08-05 14:00:00,5131.336,5131.336,5070.266,5192.956
2025-08-05 14:15:00,5128.834,5128.834,5070.154,5196.9
2025-08-05 14:30:00,5124.718,5124.718,5063.321,5198.528
2025-08-05 14:45:00,5122.923,5122.923,5058.848,5185.087
2025-08-05 15:00:00,5113.905,5113.905,5053.528,5186.485
2025-08-05 15:15:00,5118.695,5118.695,5059.212,5181.841
2025-08-05 15:30:00,5127.464,5127.464,5062.624,5195.05
2025-08-05 15:45:00,5120.668,5120.668,5058.214,5204.031
2025-08-05 16:00:00,5124.148,5124.148,5046.631,5202.698
2025-08-05 16:15:00,5125.138,5125.138,5058.965,5204.926
2025-08-05 16:30:00,5129.306,5129.306,5051.218,5203.304
2025-08-05 16:45:00,5122.298,5122.298,5059.25,5211.298
2025-08-05 17:00:00,5122.304,5122.304,5052.49,5209.756
2025-08-05 17:15:00,5123.572,5123.572,5053.99,5205.794
2025-08-05 17:30:00,5125.846,5125.846,5061.534,5203.247
2025-08-05 17:45:00,5127.85,5127.85,5053.528,5205.742
2025-08-05 18:00:00,5132.184,5132.184,5063.99,5202.987
2025-08-05 18:15:00,5129.32,5129.32,5061.58,5206.324
2025-08-05 18:30:00,5126.563,5126.563,5057.398,5208.598
2025-08-05 18:45:00,5124.495,5124.495,5052.73,5191.902
2025-08-05 19:00:00,5115.504,5115.504,5046.937,5194.538
2025-08-05 19:15:00,5120.949,5120.949,5057.123,5192.982
2025-08-05 19:30:00,5127.86,5127.86,5057.853,5199.502
2025-08-05 19:45:00,5123.066,5123.066,5057.594,5203.767
2025-08-05 20:00:00,5131.869,5131.869,5059.656,5203.661
2025-08-05 20:15:00,5134.469,5134.469,5074.034,5208.513
2025-08-05 20:30:00,5138.936,5138.936,5070.653,5210.24
2025-08-05 20:45:00,5133.778,5133.778,5075.648,5216.688
2025-08-05 21:00:00,5134.922,5134.922,5071.394,5214.728
2025-08-05 21:15:00,5137.792,5137.792,5073.772,5217.398
2025-08-05 21:30:00,5141.314,5141.314,5083.584,5218.19
2025-08-05 21:45:00,5145.556,5145.556,5073.902,5226.444
2025-08-05 22:00:00,5152.76,5152.76,5086.864,5227.167
2025-08-05 22:15:00,5153.082,5153.082,5088.087,5235.016
2025-08-05 22:30:00,5150.552,5150.552,5081.338,5236.364
2025-08-05 22:45:00,5148.517,5148.517,5076.85,5224.114
2025-08-05 23:00:00,5137.742,5137.742,5070.864,5224.858
2025-08-05 23:15:00,5144.336,5144.336,5080.028,5217.594
2025-08-05 23:30:00,5152.112,5152.112,5081.728,5231.802
2025-08-05 23:45:00,5144.994,5144.994,5077.54,5239.066
2025-08-06 00:00:00,5145.294,5145.294,5045.782,5259.03
2025-08-06 00:15:00,5149.75,5149.75,5068.702,5267.495
2025-08-06 00:30:00,5154.822,5154.822,5057.472,5269.296
2025-08-06 00:45:00,5146.22,5146.22,5070.25,5279.958
2025-08-06 01:00:00,5146.432,5146.432,5055.218,5272.092
2025-08-06 01:15:00,5145.466,5145.466,5061.09,5267.335
2025-08-06 01:30:00,5147.265,5147.265,5062.754,5264.208
2025-08-06 01:45:00,5147.42,5147.42,5054.464,5268.884
2025-08-06 02:00:00,5151.667,5151.667,5062.714,5265.886
2025-08-06 02:15:00,5146.779,5146.779,5052.686,5268.308
2025-08-06 02:30:00,5138.394,5138.394,5044.061,5258.864
2025-08-06 02:45:00,5130.848,5130.848,5031.177,5241.4
2025-08-06 03:00:00,5116.274,5116.274,5022.161,5238.268
2025-08-06 03:15:00,5120.428,5120.428,5031.814,5231.675
2025-08-06 03:30:00,5124.356,5124.356,5025.848,5247.262
2025-08-06 03:45:00,5118.893,5118.893,5026.572,5254.003
2025-08-06 04:00:00,5028.256,5028.256,4830.427,5200.463
2025-08-06 04:15:00,5022.801,5022.801,4818.603,5202.036
2025-08-06 04:30:00,5023.992,5023.992,4832.056,5196.926
2025-08-06 04:45:00,5014.922,5014.922,4816.082,5213.078
2025-08-06 05:00:00,5010.36,5010.36,4805.531,5203.448
2025-08-06 05:15:00,5016.856,5016.856,4830.096,5202.369
2025-08-06 05:30:00,5025.969,5025.969,4862.29,5194.505
2025-08-06 05:45:00,5030.782,5030.782,4857.998,5201.048
2025-08-06 06:00:00,5034.347,5034.347,4863.292,5196.726
2025-08-06 06:15:00,5040.866,5040.866,4878.87,5201.335
2025-08-06 06:30:00,5037.744,5037.744,4877.287,5190.426
2025-08-06 06:45:00,5037.366,5037.366,4876.834,5185.953
2025-08-06 07:00:00,5031.361,5031.361,4874.241,5192.306
2025-08-06 07:15:00,5044.276,5044.276,4895.752,5195.95
2025-08-06 07:30:00,5055.298,5055.298,4898.768,5210.928
2025-08-06 07:45:00,5059.378,5059.378,4913.121,5226.183
2025-08-06 08:00:00,5175.094,5175.094,5030.572,5425.098
2025-08-06 08:15:00,5185.356,5185.356,5034.268,5449.545
2025-08-06 08:30:00,5194.24,5194.24,5040.289,5455.538
2025-08-06 08:45:00,5195.276,5195.276,5057.552,5484.646
2025-08-06 09:00:00,5208.058,5208.058,5057.504,5511.036
2025-08-06 09:15:00,5218.883,5218.883,5073.655,5525.154
2025-08-06 09:30:00,5235.214,5235.214,5086.058,5565.698
2025-08-06 09:45:00,5237.358,5237.358,5073.056,5563.949
2025-08-06 10:00:00,5257.822,5257.822,5080.711,5588.632
2025-08-06 10:15:00,5261.902,5261.902,5088.674,5628.392
2025-08-06 10:30:00,5271.1,5271.1,5100.302,5662.008
2025-08-06 10:45:00,5270.263,5270.263,5100.002,5693.48
2025-08-06 11:00:00,5263.904,5263.904,5094.831,5716.442
2025-08-06 11:15:00,5277.955,5277.955,5104.507,5683.025
2025-08-06 11:30:00,5286.214,5286.214,5105.948,5697.064
2025-08-06 11:45:00,5273.357,5273.357,5108.048,5696.376
2025-08-06 12:00:00,5226.012,5226.012,5072.019,5546.428
2025-08-06 12:15:00,5232.03,5232.03,5079.033,5572.26
2025-08-06 12:30:00,5237.024,5237.024,5072.622,5559.516
2025-08-06 12:45:00,5231.442,5231.442,5087.164,5592.85
2025-08-06 13:00:00,5242.464,5242.464,5082.094,5631.366
2025-08-06 13:15:00,5243.082,5243.082,5097.002,5645.68
2025-08-06 13:30:00,5250.608,5250.608,5100.91,5649.214
2025-08-06 13:45:00,5252.186,5252.186,5088.604,5651.232
2025-08-06 14:00:00,5266.789,5266.789,5095.276,5660.608
2025-08-06 14:15:00,5262.674,5262.674,5095.776,5667.496
2025-08-06 14:30:00,5261.789,5261.789,5103.208,5668.946
2025-08-06 14:45:00,5248.989,5248.989,5095.636,5657.287
2025-08-06 15:00:00,5230.242,5230.242,5083.448,5637.215
2025-08-06 15:15:00,5235.52,5235.52,5091.358,5590.509
2025-08-06 15:30:00,5239.008,5239.008,5078.761,5595.04
2025-08-06 15:45:00,5231.064,5231.064,5076.483,5615.327
2025-08-06 16:00:00,5215.675,5215.675,4914.212,5628.414
2025-08-06 16:15:00,5218.988,5218.988,4917.875,5634.301
2025-08-06 16:30:00,5224.37,5224.37,4942.376,5603.592
2025-08-06 16:45:00,5213.586,5213.586,4958.416,5594.728
2025-08-06 17:00:00,5217.254,5217.254,4965.724,5590.764
2025-08-06 17:15:00,5207.885,5207.885,4996.927,5578.436
2025-08-06 17:30:00,5213.094,5213.094,5010.418,5562.038
2025-08-06 17:45:00,5213.768,5213.768,5002.785,5532.96
2025-08-06 18:00:00,5225.832,5225.832,5017.186,5517.344
2025-08-06 18:15:00,5219.802,5219.802,5017.81,5510.239
2025-08-06 18:30:00,5210.056,5210.056,5018.183,5501.334
2025-08-06 18:45:00,5203.33,5203.33,5007.739,5483.701
2025-08-06 19:00:00,5189.304,5189.304,5000.943,5477.495
2025-08-06 19:15:00,5197.476,5197.476,5016.121,5456.948
2025-08-06 19:30:00,5204.9,5204.9,5014.616,5460.276
2025-08-06 19:45:00,5205.742,5205.742,5032.022,5487.845
2025-08-06 20:00:00,5239.056,5239.056,5042.95,5578.384
2025-08-06 20:15:00,5246.45,5246.45,5067.426,5591.11
2025-08-06 20:30:00,5255.058,5255.058,5063.738,5570.788
2025-08-06 20:45:00,5248.828,5248.828,5086.148,5590.38
2025-08-06 21:00:00,5255.206,5255.206,5079.228,5599.168
2025-08-06 21:15:00,5252.619,5252.619,5083.096,5606.364
2025-08-06 21:30:00,5263.175,5263.175,5094.758,5610.656
2025-08-06 21:45:00,5264.448,5264.448,5091.699,5601.035
2025-08-06 22:00:00,5279.033,5279.033,5108.913,5604.248
2025-08-06 22:15:00,5276.604,5276.604,5104.448,5610.346
2025-08-06 22:30:00,5277.713,5277.713,5112.634,5612.117
2025-08-06 22:45:00,5268.735,5268.735,5105.022,5591.144
2025-08-06 23:00:00,5259.226,5259.226,5099.31,5595.216
2025-08-06 23:15:00,5262.276,5262.276,5110.372,5568.365
2025-08-06 23:30:00,5268.548,5268.548,5095.568,5576.042
2025-08-06 23:45:00,5255.703,5255.703,5099.014,5593.092
2025-08-07 00:00:00,5257.01,5257.01,4991.771,5611.842
2025-08-07 00:15:00,5267.942,5267.942,5015.01,5665.9
2025-08-07 00:30:00,5277.873,5277.873,5014.276,5649.348
2025-08-07 00:45:00,5258.16,5258.16,4996.009,5624.058
2025-08-07 01:00:00,5235.53,5235.53,4993.498,5574.348
2025-08-07 01:15:00,5216.823,5216.823,4972.236,5557.86
2025-08-07 01:30:00,5211.111,5211.111,4967.966,5536.156
